,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
4735,Tl,81,196,0.0,5076.0,7.0,2.7728802507510003e-27,1.2176541301200002e-47
4759,Tl,81,205,0.0,1.5000000000000002e-09,-1.5,2.07082131659e-27,1.18561060038e-47
4763,Tl,81,205,0.0,short,-2.5,3.58605642629e-27,-8.010882435e-48
4782,Pb,82,191,0.0,130.8,-6.5,-5.919518495228e-27,1.3618500139500001e-48
4785,Pb,82,192,0.0,1.07 s,12.0,-1.0505630093920001e-26,5.1269647584000006e-48
4786,Pb,82,192,2743,7.56e-07,-11.0,-1.0505630093920001e-26,4.6463118123e-47
4788,Pb,82,193,0.0,348.0,-6.5,-5.808401253849999e-27,3.12424414965e-48
4790,Pb,82,193,0.0,2.2000000000000002e-08,-10.5,-3.13148589338e-27,3.5247882714e-48
4792,Pb,82,193,0.0,9.400000000000001e-09,-13.5,4.6467210030799995e-26,4.1656588662e-47
4794,Pb,82,193,0.0,9.400000000000001e-09,-14.5,5.0002758620100004e-26,4.4860941636e-47
4796,Pb,82,193,0.0,1.35e-07,-16.5,-1.424321003118e-26,7.2097941915e-48
4802,Pb,82,194,0.0,3.5000000000000004e-07,12.0,-9.596489028099999e-27,7.850664786299999e-48
4804,Pb,82,194,0.0,1.22e-07,-11.0,5.70738557987e-26,5.7678353532e-47
4808,Pb,82,195,0.0,900.0,-6.5,-5.716476990528199e-27,4.90266005022e-48
4816,Pb,82,196,0.0,2.6900000000000004e-07,12.0,-9.495473354119999e-27,1.04141471655e-47
4819,Pb,82,196,0.0,8.500000000000001e-08,-11.0,5.35383072094e-26,-5.447400055799999e-47
4821,Pb,82,197,0.0,480.0,-1.5,-5.429592476425e-27,-1.2817411896000001e-48
4824,Pb,82,197,0.0,2580.0,-6.5,-5.581115987395e-27,6.088270650600001e-48
4833,Pb,82,198,0.0,2.1200000000000002e-07,12.0,-8.73785579927e-27,1.20163236525e-47
4835,Pb,82,199,0.0,5400.0,-1.5,-5.4255518494658005e-27,1.2817411896000001e-48
4841,Pb,82,200,0.0,4.4000000000000004e-08,-7.0,-1.06066457679e-27,5.1269647584000006e-48
4844,Pb,82,200,0.0,4.800000000000001e-07,-9.0,-1.26269592475e-27,6.408705948000001e-48
4848,Pb,82,200,0.0,1.52e-07,12.0,-9.14191849519e-27,1.26571942473e-47
4851,Pb,82,201,0.0,33588.0,-2.5,3.4107942319347e-27,-1.6021764870000002e-49
4853,Pb,82,201,0.0,6.300000000000001e-08,-12.5,-3.99011912221e-27,7.3700118402e-48
4858,Pb,82,202,0.0,13032.0,-9.0,-1.1495583698924e-27,9.292623624599999e-48
4859,Pb,82,202,2208,6.5e-08,-7.0,-1.1495583698924e-27,4.4860941636e-48
4864,Pb,82,203,0.0,186840.0,-2.5,3.419380564223e-27,1.6021764870000003e-48
4867,Pb,82,203,0.0,5.6000000000000005e-08,-10.5,-3.23250156736e-27,1.3618500139499999e-47
4870,Pb,82,204,0.0,2.94e-12,2.0,1.0101567398e-28,3.6850059201e-48
4872,Pb,82,204,0.0,2.8e-07,4.0,1.136426332275e-27,7.0495765428e-48
4876,Pb,82,205,0.0,1.5x10*7y,-2.5,3.581005642591e-27,3.6850059201e-48
4879,Pb,82,205,0.0,0.00555,-6.5,-4.94976802502e-27,4.8065294609999993e-48
4881,Pb,82,205,0.0,2.1700000000000002e-07,-12.5,-4.267912225655e-27,1.00937118681e-47
4884,Pb,82,206,0.0,8.4e-12,2.0,1.5152351097e-28,8.010882435000001e-49
4886,Pb,82,206,0.0,123 s,-7.0,-7.67719122248e-28,5.2871824071000006e-48
4894,Pb,82,208,0.0,1.5e-11,-3.0,9.596489028099999e-27,-5.4474000558000006e-48
4896,Pb,82,208,4086,7.400000000000001e-16,2.0,5.5558620689000005e-28,-1.1215235409e-47
4898,Pb,82,209,0.0,11700.0,-4.5,-7.4423297804765e-27,-4.3258765149e-48
4902,Pb,82,211,0.0,2166.0,-4.5,-7.0897850782863e-27,1.4419588382999997e-48
4907,Bi,83,202,0.0,6192.0,5.0,2.1511287774041003e-26,-1.602176487e-47
4910,Bi,83,202,0.0,6192.0,6.0,2.1844639498175003e-26,-1.9386335492699999e-47
4915,Bi,83,202,0.0,3.04 s,-10.0,1.2273404388570001e-26,2.2430470818e-48
4920,Bi,83,202,0.0,3.1e-07,17.0,1.0404614419940001e-26,7.2097941915e-48
4925,Bi,83,203,0.0,42480.0,-4.5,2.333462068938e-26,-1.49002413291e-47
4933,Bi,83,204,0.0,40392.0,6.0,2.1617354231720003e-26,-1.1215235409e-47
4938,Bi,83,204,0.0,0.013000000000000001,-10.0,1.21218808776e-26,1.18561060038e-48
4942,Bi,83,205,0.0,1321920.0,-4.5,2.1011260187840002e-26,-1.2977629544699999e-47
4948,Bi,83,206,0.0,539395.2000000001,6.0,2.3233605015399997e-26,-8.6517530298e-48
4952,Bi,83,206,0.0,0.0008900000000000001,-10.0,1.3354272100156e-26,9.1324059759e-49
4956,Bi,83,207,0.0,1016154720.0000001,-4.5,2.0612248275619e-26,-1.2176541301200002e-47
4961,Bi,83,207,0.0,182 s,-10.5,1.7223172413590002e-26,8.171100083699998e-49
4964,Bi,83,208,0.0,3.7x10*5 y,5.0,2.3122487774022003e-26,-1.1215235409e-47
4970,Bi,83,209,0.0,inf,-4.5,2.07617514731094e-26,-8.267230672920001e-48
4979,Bi,83,209,0.0,1.4e-14,-4.5,1.76777429465e-26,2.4032647304999997e-48
4982,Bi,83,209,0.0,1.2e-11,-7.5,3.13148589338e-26,0.0
4985,Bi,83,210,0.0,432864.0,-1.0,-2.2481038244249e-28,3.0441353253000006e-48
4988,Bi,83,210,0.0,3.0x10*6 y,-9.0,1.378863949827e-26,-1.0574364814200001e-47
4996,Bi,83,212,0.0,3636.0,-1.0,2.07082131659e-27,1.6021764870000003e-48
5000,Bi,83,213,0.0,2736.0,-4.5,1.964754858911e-26,-1.3298064842099999e-47
5007,Po,84,200,0.0,6.1e-08,8.0,3.757783072056e-26,2.2110035520599997e-47
5013,Po,84,202,0.0,1.1e-07,8.0,3.762833855755e-26,1.9386335492699999e-47
5018,Po,84,204,0.0,1.58e-07,8.0,3.727478369862e-26,1.82648119518e-47
5023,Po,84,206,0.0,2.1200000000000002e-07,8.0,3.707275235066e-26,1.6342200167400002e-47
5029,Po,84,208,0.0,3.8e-07,8.0,3.722427586163e-26,1.4419588383e-47
5034,Po,84,209,0.0,9.81e-08,-8.5,3.914357366725e-26,-6.2484882993e-48
5040,Po,84,210,0.0,2.01e-08,-11.0,6.16195611278e-26,-1.37787177882e-47
5043,Po,84,210,0.0,5.1e-08,-13.0,3.43453291532e-26,-1.4419588383e-47
5046,Po,84,210,0.0,2.65e-07,16.0,4.969971159816e-26,-2.0828294331e-47
5051,At,85,208,2276,1.5s,-16.0,1.358660815031e-26,-2.6756347332899996e-47
5053,At,85,209,0.0,2.6e-08,-10.5,5.050783699e-26,-1.24969765986e-47
5056,At,85,209,0.0,8.900000000000001e-07,-14.5,7.768105329062e-26,-2.38724296563e-47
5058,At,85,210,0.0,2.84e-08,11.0,4.9497680250200006e-26,-1.0253929516800001e-47
5063,At,85,210,0.0,4.800000000000001e-07,-15.0,7.864070219343001e-26,1.9386335492699999e-47
5066,At,85,210,0.0,5.9 s,19.0,7.0710971786e-26,-3.46070121192e-47
5070,At,85,211,0.0,5.08e-08,-14.5,7.732749843169001e-26,-1.61819825187e-47
5073,At,85,211,0.0,4.2 s,-19.5,6.798354858854001e-26,-3.0120917955599995e-47
5080,Rn,86,203,0.0,28.0,-6.5,-4.84875235104e-27,2.0507859033600002e-47
5082,Rn,86,205,0.0,169.8,-2.5,4.050728526598e-27,9.933494219400001e-49
5086,Rn,86,207,0.0,558.0,-2.5,4.121439498384e-27,3.5247882714e-48
5089,Rn,86,208,0.0,4.900000000000001e-07,8.0,3.5254470219020005e-26,6.5689235967e-48
5092,Rn,86,209,0.0,1740.0,-2.5,4.2365973667212e-27,4.9667471096999993e-48
5095,Rn,86,210,0.0,6.44e-07,8.0,3.565853291494e-26,5.1269647584000006e-48
5101,Rn,86,210,0.0,1.05 s,-17.0,8.93988714723e-26,1.42593707343e-47
5107,Rn,86,211,0.0,5.96e-07,-8.5,3.914357366725e-26,3.0441353253000006e-48
5112,Rn,86,211,0.0,2.01e-07,-31.5,9.899536050040001e-26,2.5634823792000005e-47
5136,Rn,86,219,0.0,3.96,-2.5,-2.232446394958e-27,1.8425029600499999e-47
5139,Rn,86,221,0.0,1500.0,-3.5,-1.0101567398e-28,-7.530229488899999e-48
5142,Rn,86,223,0.0,1392.0,-3.5,-3.919408150424e-27,1.5861547221299999e-47
5145,Rn,86,225,0.0,270.0,-3.5,-3.515345454504e-27,1.66626354648e-47
5155,Fr,87,207,0.0,14.8,-4.5,1.964754858911e-26,-2.5634823792000003e-48
5157,Fr,87,208,0.0,58.6,7.0,2.399122257025e-26,0.0
5159,Fr,87,209,0.0,50.0,-4.5,1.995059561105e-26,-3.8452235688e-48
5162,Fr,87,210,0.0,192.0,6.0,2.22234482756e-26,3.0441353253000006e-48
5164,Fr,87,211,0.0,186.0,-4.5,2.0203134796e-26,-3.0441353253000006e-48
5166,Fr,87,211,0.0,1.46e-07,-14.5,7.763054545363e-26,-1.71432884109e-47
5168,Fr,87,211,0.0,1.23e-07,-22.5,1.2273404388570001e-25,-3.204352974e-47
5170,Fr,87,212,0.0,1158.0,5.0,2.333462068938e-26,-1.6021764870000003e-48
5174,Fr,87,212,0.0,6.040000000000001e-07,-15.0,7.87922257044e-26,-1.34582824908e-47
5178,Fr,87,212,0.0,3.1200000000000004e-07,-27.0,1.106121630081e-25,-2.7237000278999997e-47
5181,Fr,87,213,0.0,34.7,-4.5,2.0304150469979998e-26,-2.2430470818e-48
5192,Fr,87,213,0.0,3.1 s,-32.5,1.141477115974e-25,-3.5247882714000004e-47
5194,Fr,87,214,0.0,1.0300000000000001e-07,11.0,2.838540438838e-26,1.2817411896000002e-47
5199,Fr,87,214,0.0,1.08e-07,32.0,1.1111724137800001e-25,3.5247882714000004e-47
5205,Fr,87,220,0.0,27.4,1.0,-3.3840250783300006e-27,7.530229488899999e-48
5207,Fr,87,221,0.0,288.0,-2.5,7.98023824442e-27,-1.5701329572599997e-47
