nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
53 I 130,,0,12.36 h,,5+,3.349(7),,,
,,203,229 ns,,-5,-0.24(2),,,
53 I 131,,0,8.04 d,,7/2+,+2.742(1),,,
,,,,,,,,-0.34(2),R
,,,,,,,,-0.35(2),
,,150,0.95 ns,,5/2+,+2.8(5),,,
,,1797,5.9 ns,,(15/2)-,-1.2(4),,,
,,,,,,,,0.66(6),R
,,,,,,,,0.65(4),
53 I 132,,0,2.28 h,,4+,3.088(7),,,
,,,,,,,,0.08(1),R
,,50,1.12 ns,,3+,+2.06(18),,,
,,,,,,+2.2(3),,,
,,,,,,,,0.20(6),R
,,278,1.42 ns,,1+,+1.88(11),,,
,,,,,,,,-0.150(5),R
,,,,,,,,-0.148(6),
53 I 133,,0,20.9 h,,7/2+,+2.856(5),,,
,,,,,,,,-0.23(1),R
,,,,,,,,-0.24(1),
53 I 135,,0,6.57 h,,7/2+,+2.940(2),,,
,,,est 2 ns,,15/2+,>6,,,
54 Xe 117,,0,1.02 m,,5/2+,-0.5938(15) d,,,
,,,,,,,,+1.14(4),R
,,,,,,,,+1.16(4),
54 Xe 119,,0,5.8 m,,5/2+,-0.6542(15) d,,,
,,,,,,-0.59(6),,,
,,,,,,,,+1.29(5),R
,,,,,,,,+1.31(5),
54 Xe 121,,0,39 m,,5/2+,-0.701(3) d,,,
,,,,,,-0.65(3),,,
,,,,,,,,+1.31(5),R
,,,,,,,,+1.33(5),
54 Xe 123,,0,2.00 h,,1/2+,-0.150(3) d,,,
,,180+x,5.2 s,,7/2-,-0.902(7),,,
,,,,,,,,1.4(3),R
,,201+x,17 ns,,9/2-,,,1.1(6),R
54 Xe 124,,354,56 ps,,2+,+0.46(4),,,
54 Xe 125,,0,17.1 h,,1/2+,-0.269(3) d,,,
,,253,57 s,,9/2-,-0.7453(8) d,,,
,,,,,,,,+0.417(15),R
,,,,,,,,+0.424(15),
,,296,140 ns,,7/2+,+0.93(4),,,
,,,,,,,,model estimate 1.40(5),
54 Xe 126,,389,41.2 ps,,2+,+0.74(14),,,
,,,,,,+0.54(8),,,
54 Xe 127,,0,36.4 d,,1/2+,-0.5033(11) d,,,
,,,,,,-0.5039(2),,,
,,297,1.15 m,,9/2-,-0.8844(10) d,,,
,,,,,,,,+0.68(2),R
,,,,,,,,+0.69(2),
,,342,37 ns,,7/2+,+0.85(3),,,
54 Xe 128,,443,21.4 ps,,2+,+0.82(14),,,
,,,,,,+0.62(6),,,
,,2787,83 ns,,8-,-0.29(7),,,
54 Xe 129,,0,stable,,1/2+,-0.777976(8),,,
,,40,0.98 ns,,3/2+,+0.58(8),,,
,,,,,,,,-0.393(10),R
,,,,,,,,-0.41(4),
,,236,8.89 d,,11/2-,-0.8906(12) d,,,
,,,,,,-0.891223(4),,,
,,,,,,0.8911(5),,,
,,,,,,,,+0.63(2),R
,,,,,,,,+0.64(2),
54 Xe 130,,538,10.0 ps,,2+,+0.67(2),,,
,,,,,,+0.76(14),,,
,,,,,,+0.62(8),,,
,,1122,4.6 ps,,2+,+0.9(2),,,
,,1205,2.4 ps,,4+,+1.7(2),,,
,,2972,5.17 ns,,10+,-2.05(14),,,
,,,,,,-1.6(2),,,
54 Xe 131,,0,stable,,3/2+,+0.6915(2) d,,,
,,,,,,+0.691862(4),,,
,,,,,,,,-0.114(1),R
,,,,,,,,-0.117(6),
,,,,,,,,-0.116(4),
,,,,,,,,-0.120(12),
,,164,11.8 d,,11/2-,-0.994(2) d,,,
,,,,,,0.9940(5),,,
,,,,,,-0.994048(6),,,
,,,,,,,,+0.72(3),R
,,,,,,,,+0.73(3),
54 Xe 132,,668,4.9 ps,,2+,+0.63(2),,,
,,,,,,+0.70(7),,,
,,,,,,+0.74(10),,,
,,,,,,+0.78(10),,,
,,1298,3.0 ps,,2+,+0.2(4),,,
,,1440,1.8 ps,,4+,+2.4(4),,,
,,2214,90 ns,,7-,-0.06(3),,,
,,,,,,,,0.010(5),R
,,2753,8.4 ms,,10+,-1.95(5),,,
54 Xe 133,,0,5.24 d,,3/2+,+0.8129(5) d,,,
,,,,,,+0.81340(7),,,
,,,,,,0.81(1),,,
,,,,,,+0.8125(3),,,
,,,,,,+0.81(1),,,
,,,,,,0.80(10),,,
,,,,,,,,+0.140(5),R
,,,,,,,,+0.142(5),
,,,,,,,,+0.145(14),
,,,,,,,,+0.12(4),
,,233,2.19 d,,11/2-,-1.0825(13) d,,,
,,,,,,,,+0.76(5),R
,,,,,,,,+0.77(3),
54 Xe 134,,847,1.9 ps,,2+,+0.708(14),,,
,,,,,,1.1(2),,,
,,1731,2.2 ps,,4+,+3.2(6),,,
54 Xe 135,,0,9.10 h,,3/2+,+0.9032(7) d,,,
,,,,,,0.9031(2),,,
,,,,,,,,+0.210(7),R
,,,,,,,,+0.214(7),
,,527,15.3 m,,11/2-,-1.1036(14) d,,,
,,,,,,1.1030(2),,,
,,,,,,,,+0.61(2),R
,,,,,,,,+0.62(2),
54 Xe 136,,1313,0.21 ps,,2+,+1.53(9),,,
,,,,,,2.4(5),,,
,,1694,1.32 ns,,4+,+4.3(17),,,
,,,,,,3.2(6),,,
54 Xe 137,,0,3.82 m,,7/2-,-0.968(8),,,
,,,,,,,,-0.47(2),R
,,,,,,,,-0.48(2),
,,1620,(0.6 ns),,15/2,2.0(4),,,
54 Xe 139,,0,39.7 s,,3/2-,-0.304(10),,,
,,,,,,,,+0.39(2),R
,,,,,,,,+0.40(2),
54 Xe 140,,377,0.163 ns,,2+,0.7(2),,,
54 Xe 141,,0,1.73 s,,5/2+,+0.010(4),,,
,,,,,,,,-0.57(2),R
,,,,,,,,-0.58(2),
54 Xe 142,,287,0.20 ns,,2+,0.8(3),,,
54 Xe 143,,0,0.30 s,,5/2-,-0.4599(14),,,
,,,,,,,,+0.91(3),R
,,,,,,,,+0.93(3),
55 Cs 118,,0 ,14 s,,2,+3.876(5),,,
,,,,,,,,+1.31(17),R
,,,,,,,,+1.4(2) st,
,,0 ,17 s,,(6-),5.4(11),,,
55 Cs 119,,0 ,36 s,,9/2+,+5.46(3),,,
,,,,,,,,+2.65(17),R
,,,,,,,,+2.8(1) st,
,,0 ,28 s,,3/2+,+0.838(5),,,
,,,,,,,,+0.85(12),R
,,,,,,,,+0.9(1) st,
55 Cs 120,,0,64 s,,2+,+3.87(2),,,
,,,,,,,,+1.36(7),R
,,,,,,,,+1.45(2) st,
,,,,,,+3.92(5),,,
55 Cs 121,,0,2.27 m,,3/2+,+0.770(4),,,
,,,,,,0.79(2),,,
,,,,,,,,+0.79(4),R
,,,,,,,,+0.838(9) st,
,,,,,,,,+2.53(13),R
,,,,,,,,+2.69(5) st,
55 Cs 122,,0 ,21 s,,1+,-0.1333(9),,,
,,,,,,0.133(2),,,
,,,,,,,,-0.179(10),R
,,,,,,,,-0.190(10) st,
,,0 ,4.2 m,,8-,+5.41(3),,,
,,,,,,,,+3.09(8),R
,,,,,,,,+3.29(8) st,
55 Cs 123,,0,5.8 m,,1/2+,+1.377(7),,,
,,,,,,+1.39(2),,,
55 Cs 124,,0,30.8 s,,1+,+0.673(3),,,
,,,,,,+0.674(7),,,
,,,,,,,,-0.69(4),R
,,,,,,,,-0.74(3) st,
55 Cs 125,,0,45 m,,1/2+,+1.409(7),,,
55 Cs 126,,0,1.64 m,,1+,+0.777(4),,,
,,,,,,+0.779(8),,,
,,,,,,,,-0.64(3),R
,,,,,,,,-0.68(2) st,
55 Cs 127,,0,6.2 h,,1/2+,+1.459(7),,,
,,66,24.9 ns,,5/2+,2.7(5),,,
,,,,,,,,0.58(12),
55 Cs 128,,0,3.62 m,,1+,+0.974(5),,,
,,,,,,+0.977(10),,,
,,,,,,,,-0.54(3),R
,,,,,,,,-0.570(8) st,
55 Cs 129,,0,32.3 h,,1/2+,+1.491(8),,,
,,575,734 ns,,11/2-,+6.55(10),,,
55 Cs 130,,0,29.9 m,,1+,+1.460(7),,,
,,,,,,+1.466(15),,,
,,,,,,,,-0.056(6),R
,,,,,,,,-0.059(6) st,
,,0+x,3.7 m,,5-,+0.629(4),,,
,,,,,,+0.631(10),,,
,,,,,,,,+1.36(8),R
,,,,,,,,+1.45(5) st,
55 Cs 131,,0,9.69 d,,5/2+,+3.53(2),,,
,,,,,,+3.543(2),,,
,,,,,,,,+0.59(2),R
,,,,,,,,-0.575(6) st,
,,,,,,,,-0.67(4) st,
,,134,8.7 ns,,5/2+,+1.86(8),,,
,,,,,,,,0.20(2),R
,,,,,,,,0.022(3),
55 Cs 132,,0,6.47 d,,2-,+2.222(7),,,
,,,,,,+2.23(1),,,
,,,,,,,,+0.48(2),R
,,,,,,,,+0.508(7) st,
,,,,,,,,+0.49(2) st,
55 Cs 133,,0,stable,,7/2+,+2.582025(3),,,
,,,,,,+2.5829128(15),,,
,,,,,,,,-0.00343(10),R
,,,,,,,,-0.00355(4),
,,,,,,,,-0.00371(14),
,,,,,,,,-0.009(4) st,
,,81,6.31 ns,,5/2+,+3.45(2),,,
,,,,,,,,-0.30(2),R
,,,,,,,,-0.33(2) st,
,,161,190 ps,,5/2+,+2.0(2),,,
55 Cs 134,,0,2.06 y,,4+,+2.9937(9),,,
,,,,,,+2.99(2),,,
,,,,,,,,+0.37(2),R
,,,,,,,,+0.389(3) st,
,,,,,,,,+0.38(4) st,
,,11,47 ns,,5+,+3.35(7),,,
,,139,2.90 h,,8-,+1.0978(2),,,
,,,,,,+1.111(6),,,
,,,,,,,,+0.92(8),R
,,,,,,,,+0.98(8) st,
55 Cs 135,,0,3x10*6 y,,7/2+,+2.7324(2),,,
,,,,,,+2.73(1),,,
,,,,,,,,+0.048(3),R
,,,,,,,,+0.050(2) st,
,,,,,,,,+0.03(2) st,
,,1633,53 m,,19/2-,+2.18(1),,,
,,,,,,,,+0.83(7),R
,,,,,,,,+0.89(7),
55 Cs 136,,0,13.2 d,,5+,+3.711(15),,,
,,,,,,+3.71(2),,,
,,,,,,,,+0.213(15),R
,,,,,,,,+0.225(10) st,
,,,,,,,,+0.17(6) st,
,,0+x,19 s,,8-,+1.319(7),,,
,,,,,,,,+0.70(3),R
,,,,,,,,+0.74(10),
55 Cs 137,,0,30.17 y,,7/2+,+2.8513(7),,,
,,,,,,+2.838(7),,,
,,,,,,+2.84(1),,,
,,,,,,,,+0.048(2),R
,,,,,,,,+0.051(1) st,
,,,,,,,,+0.06(2) st,
,,,,,,,,+0.03(4) st,
55 Cs 138,,0,32.2 m,,3-,+0.700(4),,,
,,,,,,+0.701(7),,,
,,,,,,+0.701(14),,,
,,,,,,,,+0.112(17),R
,,,,,,,,+0.13(2) st,
,,,,,,,,+0.12(2) st,
,,80,2.9 m,,6-,+1.713(9),,,
,,,,,,,,-0.37(5),R
,,,,,,,,-0.40(3),
55 Cs 139,,0,9.4 m,,7/2+,+2.696(4),,,
,,,,,,+2.70(1),,,
,,,,,,+2.70(3),,,
,,,,,,,,-0.063(14),R
,,,,,,,,-0.075(11) st,
,,,,,,,,-0.06(3) st,
55 Cs 140,,0,65 s,,1-,+0.1338953(5),,,
,,,,,,+0.134(1),,,
,,,,,,+0.134(2),,,
,,,,,,+0.134(3),,,
,,,,,,,,-0.094(15),R
,,,,,,,,-0.112(7) st,
,,,,,,,,-0.10(2) st,
55 Cs 141,,0,25.1 s,,7/2+,+2.438(10),,,
,,,,,,+2.42(3),,,
,,,,,,+2.41(1),,,
,,,,,,,,-0.42(7),R
,,,,,,,,-0.36(4) st,
,,,,,,,,-0.45(7) st,
55 Cs 143,,0,1.78 s,,3/2+,+0.870(4),,,
,,,,,,,,+0.44(3),R
,,,,,,,,+0.47(3) st,
55 Cs 144,,0,1.00 s,,1,-0.546(3),,,
,,,,,,,,+0.29(2),R
,,,,,,,,+0.30(1) st,
55 Cs 145,,0,0.59 s,,3/2+,+0.784(4),,,
,,,,,,,,+0.58(6),R
,,,,,,,,+0.62(6) st,
55 Cs 146,,0,0.34 s,,1,-0.515(2),,,
,,,,,,,,+0.21(3),R
,,,,,,,,+0.22(3) st,
56 Ba 121,,0,30 s,,5/2+,+0.660(1),,,
,,,,,,,,+1.96(13),R
,,,,,,,,+1.79(12) st,
56 Ba 123,,0,2.7 m,,5/2+,-0.680(1),,,
,,,,,,-0.69(2),,,
,,,,,,,,+1.63(13),R
,,,,,,,,+1.49(12) st,
,,,,,,,,+1.52(13),
56 Ba 125,,0,3.5 m,,1/2+,+0.177(12),,,
,,0 + x,,,5/2+,0.1736(10),,,
56 Ba 127,,0,12.7 m,,1/2+,+0.0834(10),,,
,,,,,,+0.089(12),,,
,,80,1.9 s,,7/2-,-0.7227(5),,,
,,,,,,,,+1.78(14),R
,,,,,,,,+1.62(13),
56 Ba 129,,0,2.23 h,,1/2+,-0.398(16),,,
,,8.4,2.16 h,,7/2+,+0.930(17),,,
,,,,,,,,+1.75(14),R
,,,,,,,,+1.60(13) st,
,,182,16 ns,,9/2-,-0.86(3),,,
,,2462,47 ns,,23/2+,-2.68(8),,,
56 Ba 130,,357,37 ps,,2+,+0.70(6),,,
,,,,,,,,-1.0(2) or -0.1(2),R
,,,,,,,,-0.86(8),
,,,,,,,,-0.3(2),
,,2476,9.54 ms,,8-,-0.04(3),,,
,,,,,,,,+2.40(6),R
,,,,,,,,+2.8(3),
56 Ba 131,,0,11.8 d,,1/2+,0.708113(15),,,
,,,,,,-0.71(2),,,
,,188,14.6 m,,9/2-,-0.87(2),,,
,,,,,,,,+1.60(14),R
,,,,,,,,+1.46(13) st,
56 Ba 132,,465,18 ps,,2+,+0.68(6),,,
,,3115,12.3 ns,,10+,-1.56(11),,,
,,,,,,-1.59(5),,,
56 Ba 133,,0,10.7 y,,1/2+,0.77167(2),,,
,,,,,,-0.769(3),,,
,,,,,,-0.777(14),,,
,,12,4.7 ns,,3/2+,+0.51(7),,,
,,288,38.9 h,,11/2-,-0.91(5),,,
,,,,,,,,+0.96(6),R
,,,,,,,,+0.89(7) st,
56 Ba 134,,605,5.1 ps,,2+,+0.86(10),,,
,,,,,,+0.82(12),,,
,,,,,,,,-0.26(12) or +0.15(12),R
,,,,,,,,-0.32(6) or +0.09(6),
,,,,,,,,or -0.20(6) or +0.21(6),
,,,,,,,,-0.34(16) or -0.13(16),
,,2957,2.6 s,,10+,-2.0(1),,,
56 Ba 135,,0,stable,,3/2+,+0.83794(2),,,
,,,,,,0.838627(2),,,
,,,,,,,,+0.160(3),R
,,,,,,,,+0.15(2) st,
,,,,,,,,0.150(15),
,,,,,,,,0.16(3) st,
,,,,,,,,0.22(3),
,,,,,,,,0.23(5),
,,268,28.7 h,,11/2-,-1.001(15),,,
,,,,,,,,+1.03(15),R
,,,,,,,,+0.98(8) st,
56 Ba 136,,819,1.93 ps,,2+,+0.69(10),,,
,,,,,,,,-0.19(6) or +0.07(7),R
,,,,,,,,+0.01(5) or +0.25(5),
,,2140,1.5 ns,,5-,-1.9(2),,,
56 Ba 137,,0,stable,,3/2+,+0.93737(2),,,
,,,,,,0.93734(2),,,
,,,,,,,,+0.245(4),R
,,,,,,,,+0.23(3) st,
,,,,,,,,0.246(2),
,,,,,,,,0.23(2),
,,,,,,,,0.34(4),
,,,,,,,,0.35(8),
,,662,2.55 m,,11/2-,-0.99(3),,,
,,,,,,,,+0.85(10),R
,,,,,,,,+0.78(9),
56 Ba 138,,1436,0.206 ps,,2+,+1.4(2),,,
,,,,,,,,-0.14(6) or +0.08(6),R
,,1899,2.17 ns,,4+,3.2(6),,,
,,2091,0.8 s,,6+,5.9(12),,,
56 Ba 139,,0,84.6 m,,7/2-,-0.973(5),,,
,,,,,,-0.98(2),,,
,,,,,,,,-0.573(13),R
,,,,,,,,-0.50(4) st,
56 Ba 140,,602,7.2 ps,,2+,,,-0.5(3),R
56 Ba 141,,0,18.7 m,,3/2-,-0.337(5),,,
,,,,,,-0.35(2),,,
,,,,,,,,+0.454(10),R
,,,,,,,,+0.43(4) st,
56 Ba 142,,359,66 ps,,2+,0.85(10),,,
56 Ba 143,,0,14.5 s,,5/2+,+0.443(11),,,
,,,,,,+0.45(2),,,
,,,,,,,,-0.88(2),R
,,,,,,,,-0.81(7) st,
,,117,2.6 ns,,9/2-,+0.5(3),,,
56 Ba 144,,199,0.70 ns,,2+,0.68(10),,,
56 Ba 145,,0,4.31 s,,5/2-,-0.285(7),,,
,,,,,,-0.27(4),,,
,,,,,,,,+1.22(2),R
,,,,,,,,+1.15(10) st,
,,113,(0.21) ns,,7/2-,-1.4(10),,,
56 Ba 146,,181,0.85 ns,,2+,0.54(18),,,
,,,,,,0.56(14),,,
,,,,,,+0.4(2),,,
57 La 133,,536,60 ns,,11/2-,7.5(5),,,
57 La 135,,0,19.5 h,,5/2+,+3.70(9),,,
,,,,,,,,-0.4(4),R
,,2737,50 ns,,(27/2)+,0.0(2),,,
57 La 137,,0,6 x 10*4 y,,7/2+,+2.700(15),,,
,,,,,,+2.695(6),,,
,,,,,,,,+0.21(4),R
,,,,,,,,+0.21(3),
,,,,,,,,+0.24(7)st,
,,10,89 ns,,5/2+,,,+0.24(7)st,
,,1870,365 ns,,19/2-,+2.34(6),,,
57 La 138,,0,1.1x10*11 y,,5+,+3.713646(7),,,
,,,,,,,,+0.39(3),R
,,,,,,,,+0.45(2) st,
,,,,,,,,0.43(2) st,
,,73,116 ns,,3+,+2.89(5),,,
57 La 139,,0,stable,,7/2+,+2.7830455(9),,,
,,,,,,,,+0.200(6),R
,,,,,,,,+0.20(1) st,
57 La 140,,0,40.3 h,,3-,+0.730(15),,,
,,,,,,,,+0.084(13),R
,,,,,,,,+0.094(10) st,
58 Ce 126,,2887,8 ps,,10+,~+10,,,
,,3317,4 ps,,12+,~+12,,,
58 Ce 129,,108,60 ns,,9/2-,-0.83(5),,,
,,,,,,,,1.32(13),R
58 Ce 130,,2454,109 ns,,7-,,,1.8(2),R
58 Ce 131,,162,88 ns,,9/2-,-0.85(3),,,
,,,,,,,,0.92(10),R
58 Ce 134,,3209,308 ns,,10+,-1.87(2),,,
,,,,,,-1.9(1),,,
,,,,,,,,+1.32(12),R
,,3719,5.5 ps,,10+,-3(3),,,
58 Ce 135,,2126,8.2 ns,,19/2+,-0.66(10),,,
58 Ce 136,,3095,2.2 s,,10+,-1.80(2),,,
,,,,,,-1.80(3),,,
,,,,,,,,+1.11(11),R
58 Ce 137,,0,9.0 h,,3/2+,0.96(4),,,
,,,,,,0.90(15),,,
,,254,34.4 h,,11/2-,1.01(4),,,
,,,,,,0.70(3),,,
,,,,,,0.96(9),,,
58 Ce 138,,3538,82 ns,,10+,-1.70(3),,,
,,,,,,-1.76(10),,,
,,,,,,,,estimated +0.77 eb,
58 Ce 139,,0,137.6 d,,3/2+,1.06(4),,,
,,,,,,1.0(2),,,
,,,,,,0.85(15),,,
,,2632,70 ns,,19/2-,+3.99(6),,,
,,,,,,+3.85(8),,,
58 Ce 140,,1596,90 fs,,2+,+1.9(2),,,
,,2084,3.4 ns,,4+,+4.00(20),,,
,,,,,,4.06(15),,,
,,,,,,3.8(4),,,
,,,,,,4.44(16),,,
,,,,,,4.6(3),,,
,,,,,,,,0.35(7) st,R
,,3715,23 ns,,10+,+10.3(4),,,
58 Ce 141,,0,32.5 d,,7/2-,1.09(4),,,
,,,,,,0.89(1),,,
,,,,,,0.89(9),,,
,,,,,,1.3(2),,,
58 Ce 142,,641,5.7 ps,,2+,+0.42(10),,,
,,,,,,,,-0.16(5) or -0.37(5),R
58 Ce 143,,0,33 h,,3/2-,0.43(1),,,
,,,,,,1.0(3),,,
58 Ce 146,,259,0.25 ns,,2+,0.9(2),,,
,,,,,,0.48(10),,,
,,,,,,+0.9(7),,,
58 Ce 148,,158,1.01 ns,,2+,0.78(16),,,
,,,,,,0.74(12),,,
58 Ce 150,,306,(0.18) ns,,4+,+3.2(16),,,
59 Pr 136,,595,90 ns,,6+,+3.42(11),,,
59 Pr 139,,822,45 ns,,11/2-,+6.6(5),,,
,,,,,,+7.2(6),,,
59 Pr 141,,0,stable,,5/2+,+4.2754(5),,,
,,,,,,,,-0.077(6) st,R
,,,,,,,,-0.059(4),
,,145,1.85 ns,,7/2+,+2.95(9),,,
,,1118,4.6 ns,,11/2-,+6.2(4),,,
,,,,,,+7.2(4),,,
,,1797,1.0 ns,,15/2+,+8(2),,,
59 Pr 142,,0,19.2 h,,2-,+0.234(1),,,
,,,,,,,,+0.039(17),R
,,,,,,,,+0.030(9),
,,4,14.6 m,,5-,2.2(1),,,
59 Pr 143,,0,13.57 d,,7/2+,+2.701(4),,,
,,,,,,,,+0.77(16) st,R
,,57,4.2 ns,,5/2+,+3.4(1),,,
59 Pr 144,,80,0.12 ns,,1-,-1.2(4),,,
60 Nd 133,,SD band,-,,(37-45)/2+,g(avge) = 0.31(8),,,
60 Nd 134,,295,64 ps,,2+,+1.2(4),,,
,,2817,9.0 ps,,10+,~0,,,
60 Nd 135,,0,12.4 m,,9/2-,-0.78(3),,,
,,,,,,,,+1.9(5) st,R
,,199,35 ps,,11/2-,-0.5(3),,,
60 Nd 136,,3298,51.3 ps,,10+,+11(4),,,
,,3688,18.7 ps,,12+,+14(5),,,
60 Nd 137,,0,38 m,,1/2+,-0.633(5),,,
60 Nd 138,,3172,330 ns,,10+,-1.74(4),,,
60 Nd 139,,0,30 m,,3/2+,+0.907(7),,,
,,,,,,,,+0.28(9) st,R
60 Nd 140,,3622,22 ns,,10+,-1.92(12),,,
,,,,,,-1.6(2),,,
60 Nd 141,,0,2.49 h,,3/2+,+1.012(9),,,
,,,,,,,,+0.32(13) st,R
60 Nd 142,,1576,110 fs,,2+,+1.69(15),,,
60 Nd 143,,0,stable,,7/2-,-1.065(5),,,
,,,,,,,,-0.61(2) st,R
,,,,,,,,-0.59(3) st,
,,,,,,,,-0.56(6) st,
,,,,,,,,-0.48(2),
,,1229,6.79 ns,,13/2+,+0.38(3) p,,,
,,2911,482 ps,,21/2+,+7.2(13) p,,,
60 Nd 144,,697,4.51 ps,,2+,+0.418(14),,,
,,,,,,+0.32(4),,,
,,,,,,+0.33(8),,,
,,,,,,+0.30(4),,,
,,,,,,,,-0.15(6) or -0.28(6),R
,,,,,,,,-0.18(12),
,,1314,7.4 ps,,4+,+0.52(14),,,
,,,,,,+0.8(8),,,
,,1791,(est.40 ps),,6+,-3.4(13),,,
60 Nd 145,,0,stable,,7/2-,-0.656(4),,,
,,,,,,,,-0.314(12) st,R
,,,,,,,,-0.29(3) st,
,,,,,,,,-0.253(10),
,,73,0.72 ns,,5/2-,-0.320(4),,,
60 Nd 146,,454,27.5 ps,,2+,+0.578(16),,,
,,,,,,0.60(4),,,
,,,,,,0.58(2),,,
,,,,,,+0.63(10),,,
,,,,,,+0.50(8),,,
,,,,,,,,-0.78(9),R
,,1043,4 ps,,4+,+0.77(10),,,
60 Nd 147,,0,11.0 d,,5/2-,0.578(3),,,
,,,,,,0.554(10),,,
,,,,,,,,0.9(3),R
60 Nd 148,,302,78 ps,,2+,+0.73(3),,,
,,,,,,0.70(4),,,
,,,,,,+0.83(9),,,
,,,,,,+0.64(8),,,
,,,,,,,,-1.46(13),R
,,752,7.0 ps,,4+,+1.4(1),,,
,,1280,(est 4.6 ps),,6+,+1.6(3),,,
,,3621,330 ns,,10+,-1.75(9),,,
60 Nd 149,,0,1.73 h,,5/2-,0.351(10),,,
,,,,,,,,1.3(3),R
60 Nd 150,,130,2142 ps,,2+,0.9(2),,,
,,,,,,0.76(10),,,
,,,,,,+0.84(8),,,
,,,,,,0.64(2),,,
,,,,,,,,-2.0(5),R
,,381,56 ps,,4+,+1.8(3),,,
,,,,,,1.76(16),,,
,,,,,,+1.3(2),,,
,,720,12 ps,,6+,+2.1(4),,,
,,1130,4 ps,,8+,+4.5(10),,,
,,1599,(est 3.6ps),,10+,+1(2),,,
61 Pm 138,,0,3.5 m,,(3+),3.2(9),,,
61 Pm 143,,0,265 d,,5/2+,3.8(5),,,
,,960,22 ns,,11/2-,+6.8(4),,,
,,,,,,+6.3(5),,,
,,1898,10.2 ns,,15/2+,+7.7(4),,,
,,,,,,+7.5(5),,,
61 Pm 144,,0,349 d,,5-,1.69(14),,,
61 Pm 145,,0,17.7 y,,5/2+,+3.80(16),,,
,,,,,,,,+0.23(8),R
,,,,,,,,+0.21(8),
61 Pm 147,,0,2.623 y,,7/2+,+2.58(7),,,
,,,,,,,,+0.74(20),R
,,,,,,,,+0.7(2),
,,,,,,,,0.59(16),
,,91,2.5 ns,,5/2+,+3.22(16),,,
,,,,,,3.55(10),,,
61 Pm 148,,0,5.37 d,,1-,+2.1(2),,,
,,,,,,1.8(2),,,
,,,,,,,,+0.2(2),R
,,137,41.3 d,,6-,1.8(2),,,
61 Pm 149,,0,53.1 h,,7/2+,3.3(5),,,
,,114,2.54 ns,,5/2+,+2.13(15),,,
,,,,,,2.0(2),,,
,,189,3.24 ns,,3/2+,+1.09(15),,,
,,,,,,2.3(6),,,
,,211,80 ps,,5/2+,+2.2(4),,,
,,270,2.64 ns,,7/2-,+2.19(11),,,
,,,,,,3.6(2),,,
61 Pm 151,,0,28.4 h,,5/2+,1.8(2),,,
,,,,,,,,2.2(9),R
,,,,,,,,1.9(3),
,,256,0.90 ns,,3/2+,1.8(2),,,
62 Sm 138,,2903,0.55 ns,,10+,~10,,,
62 Sm 139,,0,2.57 m,,1/2+,-0.53(2),,,
,,457,10.7 s,,11/2-,1.1(2),,,
62 Sm 140,,3172,19.4 ns,,10+,-1.8(2),,,
,,,,,,,,1.7(5),R
,,3210,5.2 ns,,10+,+12.7(9),,,
62 Sm 141,,0,10.2 m,,1/2+,-0.74(2),,,
,,176,22.6 m,,11/2-,-0.84(2),,,
,,,,,,0.87(15),,,
,,,,,,,,+1.6(5) st,R
62 Sm 142,,2372,170 ns,,7-,,,+1.1(3),R
62 Sm 143,,0,8.83 m,,3/2+,+1.01(2),,,
,,,,,,,,+0.4(2),R
62 Sm 144,,1660,85 fs,,2+,+1.5(2),,,
,,1810,25 ps,,3-,+2.3(3),,,
62 Sm 145,,0,340 d,,7/2-,-1.11(6),,,
,,,,,,-1.123(11),,,
,,,,,,0.92(6),,,
,,,,,,,,-0.6(2),
,,,,,,,,-0.60(7),R
62 Sm 147,,0,1.1x10*11y,,7/2-,-0.812(2),,,
,,,,,,-0.8148(7),,,
,,,,,,,,-0.27(3),
,,,,,,,,-0.261(7),
,,,,,,,,-0.26(3),R
,,,,,,,,Q(147)/Q(149) =-3.4601(6),
,,121,0.78 ns,,5/2-,-0.45(3),,,
,,,,,,,,-0.5(2),R
,,197,1.35 ns,,3/2-,-0.27(6),,,
62 Sm 148,,550,7.3 ps,,2+,+0.51(4),,,
,,,,,,+0.61(7),,,
,,,,,,,,-1.0(3),R
62 Sm 149,,0,> 2x10*15 y,,7/2-,-0.6677(11),,,
,,,,,,-0.6717(7),,,
,,,,,,-0.6708(10),,,
,,,,,,,,+0.078(8),R
,,,,,,,,+0.075(2),
,,,,,,,,+0.075(8),
,,,,,,,,+0.07(2),
,,,,,,,,-0.09(2) a,
,,23,7.6 ns,,5/2-,-0.6238(8),,,
,,,,,,,,+1.01(9) a,R
62 Sm 150,,334,49 ps,,2+,+0.77(5),,,
,,,,,,+0.82(6),,,
,,,,,,,,-1.3(2),R
,,773,6.6 ps,,4+,+2.6(3),,,
,,,,,,+1.4(2),,,
,,1046,0.73 ps,,2+,+0.7(2),,,
,,1194,1.27 ps,,2+,+0.83(14),,,
,,1279,(1.4 ps),,6+,+2.6(8),,,
,,,,,,+2.3(5),,,
62 Sm 151,,0,90 y,,5/2-,-0.3611(13),,,
,,,,,,-0.363(2),,,
,,,,,,0.368(3),,,
,,,,,,-0.3630(5),,,
,,,,,,,,+0.71(7),R
,,,,,,,,+0.65(15),
,,,,,,,,0.67(7),
