nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,-0.061(5) st,
,,30,4.30 ns,,3-,-1.29(9),,,
,,2543,1 ns,,7+,+4.1(7),,,
,,,,,,+4.4(11),,,
19 K 41,,0,stable,,3/2+,+0.2148701(2),,,
,,,,,,+0.21489274(12),,,
,,,,,,,,+0.0711(7) a,R
,,,,,,,,+0.073(2) a,
,,,,,,,,+0.060(5) st,
,,1294,7.42 ns,,7/2-,+4.42(5),,,
,,2528,152 ps,,11/2+,4.5(10),,,
,,2774,55 ps,,13/2+,3.0(5),,,
,,4983,73 ps,,19/2-,7(3),,,
19 K 42,,0,12.36 h,,2-,-1.1425(6),,,
19 K 43,,0,22.3 h,,3/2+,+0.1633(8),,,
,,738,202 ns,,7/2-,+4.43(5),,,
19 K 44,,0,22.1 m,,2-,-0.856(4),,,
19 K 45,,0,20 m,,3/2+,+0.1734(8),,,
19 K 46,,0,115 s,,2-,-1.051(6),,,
19 K 47,,0,17.5 s,,1/2+,+1.933(9),,,
19 K 49,,0,1.26 s,,1/2+,+1.3386(8),,,
19 K 51,,0,365 ms,,(3/2+),+0.513(2),,,
20 Ca 39,,0,0.86 s,,3/2+,1.02168(12),,,
,,,,,,,,0.036(7),R
,,,,,,,,0.040(6),
20 Ca 40,,3737,47 ps,,3-,+1.6(3),,,
,,,,,,+1.6(3),,,
,,4492,295 ps,,5-,+2.6(5),,,
20 Ca 41,,0,1.0x105 y,,7/2-,-1.594781(9),,,
,,,,,,-1.5942(7),,,
,,,,,,-1.61(2),,,
,,,,,,,,-0.665(18),R
,,,,,,,,-0.090(2) st,
,,,,,,,,-0.066(2) a,
,,,,,,,,-0.080(8) st,
,,3830,3.1 ns,,15/2+,+2.18(15),,,
20 Ca 42,,1525,1.1 ps,,2+,+0.08(12),,,
,,,,,,,,-0.19(8),R
,,3189,5.3 ns,,6+,-2.49(9),,,
20 Ca 43,,0,stable,,7/2-,-1.3173(6),,,
,,,,,,-1.317643(7),,,
,,,,,,,,-0.055(1),
,,,,,,,,-0.0408(8),R
,,,,,,,,-0.043(9),
,,,,,,,,-0.049(5),
20 Ca 44,,1157,3.0 ps,,2+,+0.24(10),,,
,,,,,,+0.34(6),,,
,,,,,,-0.6(2),,,
,,,,,,,,-0.14(7),R
20 Ca 45,,0,165 d,,7/2-,-1.3274(14),,,
,,,,,,-1.316(16),,,
,,,,,,,,+0.038(12),R
,,,,,,,,+0.046(14),
20 Ca 46,,1.346,4.6 ps,,2+,-0.52(12),,,
,,,,,,-0.4(2),,,
20 Ca 47,,0,4.5 d,,7/2-,-1.38(3),,,
20 Ca 49,,0,,,3/2-,-1.38(6),,,
21 Sc 41,,0,0.59 s,,7/2-,+5.431(2) d,,,
,,,,,,,,-0.145(3),R
,,,,,,,,-0.156(3) st,
,,,,,,,,0.120(6),
,,,,,,,,0.166(8),
21 Sc 43,,0,3.89 h,,7/2-,+4.528(10),,,
,,,,,,+4.62(4),,,
,,,,,,,,-0.27(5),R
,,,,,,,,-0.27(5),
,,152,438 s,,3/2+,+0.348(6),,,
,,3123,473 ns,,19/2-,+3.122(7),,,
,,,,,,,,0.199(14),R
21 Sc 44,,0,3.89 h,,2+,+2.499(5),,,
,,,,,,+2.56(3),,,
,,,,,,,,+0.10(5),R
,,,,,,,,+0.16(4),
,,68,153 ns,,1-,+0.342(6),,,
,,,,,,,,0.21(2),R
,,235,6.1 ns,,2-,+0.68(10),,,
,,271,58.6 h,,6+,+3.833(12),,,
,,,,,,+3.88(1),,,
,,,,,,,,-0.19(2),R
,,,,,,,,-0.21(9),
,,350,3.2 ns,,4+,+3.6(5),,,
21 Sc 45,,0,stable,,7/2-,+4.756487(2),,,
,,,,,,,,-0.236(2) st,
